 ,195049_023,195616_035,200199_069,200579_032,221729_037,194528_009,195047_007,195047_009,195049_033,195049_036,195051_005,195051_019,195051_025,195051_028,195199_019,195199_020,195199_046,195199_050,195199_081,195614_028,195615_012,195618_027,195620_013,195828_056,195839_015,195840_004,195840_107,196548_028,196550_026,200194_058,200194_093,200194_105,200195_005,200195_007,200195_012,200195_015,200195_016,200195_019,200195_023,200196_060,200196_088,200197_001,200197_015,200197_020,200197_026,200197_028,200197_043,200198_019,200198_024,200198_025,200198_029,200198_038,200198_043,200199_008,200199_011,200199_020,200199_023,200199_034,200199_040,200199_061,200199_067,200293_061,200321_008,200321_041,200323_006,200325_003,200579_017,201390_019,201390_022,201760_001,201760_006,220188_022,220189_035,220189_097,220191_063,220191_079,220192_035,220192_069,220192_107,220193_014,221224_143,221224_459,221224_464,221224_484,221224_493,221224_494,221225_226,221423_109,221423_140,221424_014,221424_057,221472_019,221472_021,221531_118,221531_123,221703_335,221703_349,221703_356,221703_359,221703_371,221703_379,221703_380,221703_448,221729_033,195199_039,195830_026,195831_037,200324_007,220188_071,220189_009,195047_033,195049_001,195828_052,195838_030,195839_022,200194_097,200196_041,200197_005,200198_015,201390_007,220188_054,220192_063,220193_011,220193_012,221224_144,221224_428,221224_439,221224_486,221224_496,221225_094,221225_098,221225_099,221225_100,221225_102,221225_104,221225_107,221225_108,221225_119,221225_120,221225_142,221225_148,221225_185,221225_196,221225_199,221225_200,221225_201,221225_235,221423_125,221424_002,221424_023,221531_133,221531_171
="MOs1",="1538.477",="1397.2987",="42.1685",="11963.5742",="286.0335",="5706.4154",="8052.4298",="4562.8089",="30568.498900000002",="2009.0482000000002",="0",="4184.9178",="4837.202899999999",="5388.8697",="7535.9633",="216.8914",="2195.9277",="722.4127",="14039.957999999999",="6472.4697",="7403.1206",="21938.1898",="965.9704",="0",="866.0564",="0",="0",="7481.5683",="59.0891",="0",="9583.6029",="0",="1718.4584",="62.2017",="1525.8569",="613.5953",="407.9686",="0",="3025.5374",="0",="0",="3717.5338",="372.1858",="0",="10386.4262",="235.9733",="0",="0",="5689.2182",="578.4646",="0",="0",="1080.7415",="20201.319",="23.7717",="302.3587",="890.2117",="6019.825",="181.7524",="0",="527.1196",="12119.6447",="13119.6309",="0",="1249.1927",="4829.1162",="262.3101",="4423.6592",="0",="15682.8449",="0",="0",="0",="11.3266",="482.1096",="7225.1078",="10567.4773",="221.0414",="124.137",="731.0699",="603.5173",="1391.6176",="767.3077",="8826.7328",="820.0916",="77.8362",="3751.0108",="12977.7524",="22029.4012",="39.2363",="8838.3451",="0",="1409.2546",="4649.6494999999995",="726.4491",="12994.2642",="9393.0072",="9109.0904",="27812.6133",="14714.630700000002",="1392.4645",="2636.2766",="5024.481",="2278.1693",="0",="0",="0",="135.5531",="0",="0",="0",="3225.4731",="0",="140.4127",="0",="0",="0",="573.8278",="1065.7285",="0",="0",="923.2795",="248.1177",="0",="891.0967",="574.377",="478.8595",="1524.8514",="837.344",="0",="0",="0",="84.2649",="0",="235.1523",="118.3242",="808.1695",="0",="0",="0",="226.4835",="144.5559",="0",="1465.7516",="468.6611",="0",="0",="3478.9116",="0",="168.416",="1446.3741",="196.1228"
="MOs2/3",="221.4949",="1315.8094",="478.3529",="13414.956",="986.5974",="3004.7932",="5368.3413",="1503.1116",="17956.5199",="2061.4895",="1705.5063",="1561.5746",="2453.5427",="2622.1034",="3313.5719",="0",="2028.7426",="540.6169",="5383.9092",="2039.4267",="2631.5639",="3275.5134000000003",="1518.0975",="0",="842.0383",="140.0128",="0",="4583.8373",="100.4452",="708.8485000000001",="8225.3377",="0",="1926.8672000000001",="978.5125",="54.035",="0",="2480.5417",="1007.6782000000001",="3747.5398999999998",="1465.1413",="0",="678.6826",="869.8912",="1540.0965",="8130.1437",="539.5678",="123.1709",="0",="2759.6053",="2553.1298",="155.956",="0",="1100.8904",="8335.359400000001",="4177.3577",="1259.8802",="1812.088",="546.9519",="1117.4578999999999",="112.5205",="114.6562",="2853.0556",="2169.2108",="0",="694.4182999999999",="5506.1082",="292.6483",="1251.0678",="0",="4823.9207",="0",="0",="526.2975",="885.0540000000001",="2509.3058",="3520.0101999999997",="10092.235700000001",="2103.1111",="358.2241",="660.803",="1185.5434",="588.6053",="994.9859",="5385.9841",="34.8356",="383.2974",="1995.1176",="3165.4807",="32262.1449",="370.3554",="3351.8894",="0",="1622.0714",="6972.6898",="1180.409",="9958.3559",="8896.5436",="3145.52",="14588.8225",="5818.5539",="1718.565",="237.8374",="4254.410400000001",="4467.4796",="0",="0",="196.90480000000002",="0",="0",="0",="0",="1933.7233",="0",="0",="223.1113",="1465.5506",="294.8424",="349.8438",="613.1964",="0",="396.8605",="473.7151",="0",="0",="908.9062",="577.5759",="308.757",="467.7438",="792.2485",="0",="140.3215",="0",="250.4328",="0",="160.9782",="0",="2485.3231",="0",="0",="0",="933.9148",="263.8958",="0",="460.2855",="885.8425",="1431.1634",="0",="886.911",="0",="92.29",="1056.2693",="604.0996"
="MOs5",="477.579",="1979.2727",="2692.2296",="7172.9782000000005",="4224.3851",="1937.2855",="5825.9919",="2862.8043",="19025.644200000002",="1992.8961",="31459.5509",="1516.3511",="3387.6404",="4102.3569",="3994.8039",="0",="1710.2436",="440.5432",="3320.689",="2776.8094",="9989.1718",="3694.8516",="12388.6688",="11538.8526",="250.3026",="16426.2405",="1588.3627999999999",="6200.2848",="547.9824",="11426.782500000001",="7289.766799999999",="1529.6299000000001",="2768.6229999999996",="5431.991",="547.3185",="349.4609",="8417.1376",="7504.8951",="760.8066",="5698.0982",="409.0016",="2058.408",="454.2554",="3146.2102000000004",="6876.43",="1112.0591",="2613.9277",="1387.8153",="5371.6384",="1044.039",="4751.7479",="0",="4650.8162",="15301.836500000001",="9140.439699999999",="4258.6555",="393.111",="14212.8043",="22098.1076",="624.8875",="180.1029",="6662.255700000001",="1481.1464999999998",="0",="0",="16156.4495",="3497.3907",="471.7446",="1672.6545",="6772.4048",="6006.5633",="9198.6787",="19763.9724",="12962.8358",="15426.6121",="3130.458",="4060.9722",="14237.687",="0",="682.5807",="21484.5748",="378.706",="577.5059",="4641.931500000001",="0",="867.7977",="6402.3158",="6597.9252",="17589.9682",="1265.2809",="7269.293",="235.7116",="13702.0919",="9323.581",="1810.361",="12136.866",="10237.6119",="2924.285",="12023.3161",="4856.2291000000005",="693.8012",="0",="4597.4054",="2552.1988",="132.3952",="698.8274",="16266.4331",="368.5965",="2856.9241",="8103.7943000000005",="450.9287",="6849.7251",="400.2403",="0",="568.7948",="5631.003",="3029.1199",="4136.5807",="1512.1423",="6712.5006",="8915.7901",="2904.6451",="70.6263",="87.9681",="1704.0243",="74.0134",="415.505",="5079.8316",="2572.4303",="0",="2364.5734",="267.2361",="843.6652",="612.4909",="1909.9102",="3937.4094",="6192.1768",="69.4726",="2058.4329",="481.2551",="1437.0522",="4817.7908",="1294.2117",="4877.1838",="1074.6953",="3927.6225",="699.8949",="4643.0156",="479.0346",="360.3059",="2382.682",="12890.8512"
="MOs6a",="730.1002",="2197.3339",="850.5344",="6416.7952",="0",="4152.2049",="4885.5703",="5410.5262",="8662.569599999999",="3352.4461",="9462.3102",="1120.3763",="1376.4834",="1828.451",="1185.9871",="540.3308",="1533.8823",="1491.7532",="2884.1644",="2823.7679",="11845.1101",="14634.9529",="6526.5932",="16737.6048",="679.7963",="9420.2698",="4461.657999999999",="3301.737",="1690.775",="6302.8962",="1280.0127",="1353.369",="1922.9746",="1461.2311",="3464.3244000000004",="1272.0707",="2304.3861",="2317.0737",="3215.9611000000004",="6732.6753",="898.2642",="666.603",="2133.393",="2409.4565",="1366.7022",="5828.3243",="0",="757.0839",="2525.9469",="3445.5537000000004",="7787.2222",="494.3006",="2158.0888",="15245.1312",="8096.9605",="2332.8715",="1679.7669",="4196.8233",="3154.4435999999996",="933.0658",="2013.8808",="5118.0334",="4864.7415",="1017.4157",="1436.2709",="15654.8612",="2173.3208",="1211.2895",="2127.5733",="7156.993",="2290.6165",="5683.3173",="8271.4042",="7151.4785",="6612.5741",="2783.5906",="915.7363",="8609.664700000001",="463.7771",="1307.2015999999999",="8742.7709",="1493.4983",="1146.2127",="5204.1946",="973.9564",="2597.7197",="6381.7648",="8428.8204",="4985.5955",="5122.9447",="7099.0429",="2136.9514",="4393.8143",="4840.3207",="1535.7851",="4146.5658",="6681.0806999999995",="2367.6363",="7735.9617",="3654.7149",="1569.5577",="1111.1123",="1164.6161",="68.5816",="2895.6673",="1383.2297",="19532.4994",="1785.736",="2968.8459",="18070.4783",="946.5717",="939.2338",="733.6034",="472.0511",="1259.9606",="1267.3022",="1634.1077",="1626.8968",="0",="1829.5699",="8279.7369",="3238.8522",="1381.9913",="1366.1548",="6090.9852",="1083.3057",="1062.1422",="4102.6552",="917.0956",="115.8986",="1735.9887",="879.5455",="3439.6073",="692.6023",="468.9347",="2402.5541",="2757.5123",="441.7262",="5247.3965",="322.3291",="3099.7501",="3704.6101",="2843.4613",="3301.9816",="5899.3811",="1094.609",="831.5173",="5410.1323",="558.7505",="1523.678",="3314.2002",="14306.3898"
="VISam2/3",="228.8099",="0",="1273.7149",="557.5691",="990.8335",="537.3767",="0",="2605.7141",="0",="0",="0",="734.8246",="624.1977",="5236.2828",="3390.1152",="0",="3961.7977",="3896.05",="317.9663",="0",="304.8601",="0",="0",="0",="356.1776",="0",="829.7115",="136.8309",="0",="0",="0",="0",="0",="0",="0",="2038.1727",="223.8562",="0",="2299.5064",="0",="0",="0",="10276.9314",="88.8254",="0",="2838.1047",="0",="867.714",="0",="1470.8605",="0",="172.8734",="0",="0",="0",="280.1098",="1099.9161",="0",="0",="1621.867",="1247.459",="0",="857.9043",="0",="0",="0",="0",="484.0651",="0",="91.1422",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="859.4593",="853.5969",="0",="2133.7832",="1514.2513000000001",="1067.5783",="1772.1389",="0",="23.1962",="0",="451.543",="0",="488.8294",="0",="625.6091",="462.6028",="0",="0",="454.5603",="1980.5645",="123.3299",="59.4915",="0",="0",="0",="0",="0",="0",="0",="213.7924",="256.3764",="0",="310.6925",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1367.8434",="486.8547",="12.9281",="0",="0",="0",="0",="0",="0",="77.5978",="257.3553",="0",="0",="0",="0",="0",="71.4694",="0",="0",="67.9199",="0",="0",="0",="0",="0",="0"
="VISam4",="260.5093",="0",="340.8963",="71.3194",="0",="0",="0",="727.1519",="180.18",="0",="0",="160.7096",="133.6467",="685.8299",="632.5323",="0",="378.2888",="680.4449",="134.6334",="0",="72.4429",="0",="0",="0",="0",="0",="79.5452",="0",="0",="0",="0",="0",="0",="0",="0",="531.5254",="96.906",="0",="265.9491",="0",="0",="0",="2139.8601",="271.5097",="0",="277.2284",="0",="310.2359",="0",="281.9102",="0",="0",="0",="0",="0",="184.5235",="225.6935",="0",="0",="329.3162",="746.9019",="0",="136.4129",="0",="0",="0",="0",="109.2739",="0",="0",="0",="0",="0",="39.0805",="0",="0",="0",="0",="0",="0",="0",="141.2715",="437.3002",="0",="241.5089",="86.543",="18.3614",="220.7733",="0",="0",="0",="0",="0",="208.3464",="0",="0",="103.0123",="0",="0",="38.4077",="666.216",="61.3748",="125.8218",="0",="0",="0",="0",="0",="0",="0",="121.6577",="98.8136",="0",="158.2242",="0",="51.8152",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="376.8836",="179.6604",="0",="0",="0",="0",="0",="0",="0",="165.705",="126.3335",="0",="0",="0",="0",="0",="0",="0",="0",="43.7323",="0",="0",="0",="0",="0",="0"
="VISam5",="389.5658",="48.8057",="1541.9507",="266.3382",="0",="0",="0",="2170.1843",="391.7615",="0",="0",="537.9673",="638.8508",="5970.5843",="2176.1232",="0",="1756.5805",="4516.4597",="10.2814",="0",="1668.5156",="0",="0",="0",="0",="332.8167",="292.8737",="0",="195.2981",="0",="0",="247.1798",="0",="1110.9692",="141.9005",="1660.4875",="1239.5737",="1495.5658",="1054.1112",="502.4452",="221.4483",="0",="5539.9055",="1738.9581",="241.0366",="1859.2518",="370.3788",="1655.9253",="90.1006",="1558.2352",="711.8883",="0",="0",="0",="356.9498",="771.5153",="20.2527",="795.0792",="1404.8304",="951.4873",="2277.6994",="325.8185",="40.086",="0",="0",="0",="0",="370.8273",="239.0796",="390.8683",="34.5969",="0",="10.3851",="2124.6607",="0",="0",="0",="0",="0",="892.9983",="49.6614",="981.1737",="1140.5261",="0",="656.7603",="374.4103",="0",="857.8279",="0",="0",="0",="152.9107",="0",="200.1383",="0",="160.9859",="555.5846",="268.9192",="0",="238.0261",="1708.5609",="120.2595",="1603.3544",="0",="0",="0",="873.8932",="0",="238.5266",="0",="1581.6033",="654.1822",="0",="1281.2465",="459.955",="276.9383",="365.8927",="1213.4933",="59.9529",="0",="0",="0",="0",="151.9337",="0",="161.2735",="3039.0217",="1389.8618",="0",="0",="0",="0",="427.0462",="592.3474",="282.0351",="423.1851",="751.8719",="615.5615",="0",="0",="0",="0",="0",="0",="0",="675.0978",="0",="0",="124.3744",="1152.665",="0",="199.3455"
="VISam6a",="223.4623",="829.4211",="775.6593",="0",="0",="81.1487",="655.2027",="2922.5488",="162.6856",="2312.1751",="0",="280.8211",="41.5164",="5079.1625",="4449.9817",="0",="1406.2511",="2000.7311",="468.3371",="0",="1860.9028",="225.3471",="76.6928",="342.7623",="0",="666.1011",="2267.1057",="0",="464.5025",="626.3567",="1266.5289",="550.3032",="1277.4297",="4159.4785",="506.1158",="2151.8855",="5142.5515",="7905.5509999999995",="1666.5635",="2658.9041",="3745.5899",="0",="4570.4103",="2000.471",="522.3543",="738.188",="3989.0659",="1930.607",="1268.6733",="3304.4729",="1942.0615",="0",="0",="1184.4744",="2873.3791",="926.1064",="945.2761",="788.5578",="1550.9733",="534.3328",="407.5615",="0",="0",="468.7768",="0",="856.826",="505.7277",="590.3149",="3028.4132",="416.043",="1494.7746",="0",="0",="1210.1583",="112.0954",="0",="0",="620.3231",="943.2762",="2041.0913",="412.0818",="2602.0375",="976.8147",="0",="0",="1063.1511",="0",="260.694",="0",="0",="0",="1136.9866",="0",="197.5438",="0",="1007.5491",="138.5502",="1080.2927",="0",="971.306",="105.1556",="770.3119",="0",="0",="1814.4058",="552.6535",="6907.6851",="579.4504",="2558.0299",="1273.3909",="1336.6244",="989.7096",="419.6677",="1163.2415",="464.8978",="1108.2445",="1563.2792",="2874.0392",="1118.4801",="1572.0998",="177.0281",="2.8096",="0",="438.7961",="0",="1108.5067",="1002.713",="375.6338",="0",="0",="1342.5439",="801.7483",="629.7499",="346.2422",="693.0384",="1341.9553",="89.5818",="369.6044",="0",="0",="0",="0",="343.04",="0",="0",="65.1248",="48.8128",="0",="1285.4024",="617.5445",="0",="595.3665"
="VISam6b",="509.1028",="0",="0",="0",="0",="0",="679.0454",="595.8326999999999",="834.7575",="354.9116",="0",="0",="0",="311.1787",="1517.476",="0",="418.4549",="310.7018",="178.6158",="10.7665",="0",="0",="0",="127.3324",="0",="0",="94.1882",="0",="16.6531",="29.4031",="36.0867",="497.31329999999997",="689.8563",="1378.6591",="1046.2368",="1056.3383",="198.5437",="990.7877",="585.9586",="323.3323",="296.0445",="0",="48.7095",="79.1019",="0",="0",="333.6337",="139.7312",="17.6318",="124.6007",="0",="0",="0",="0",="0",="0",="108.9221",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="378.3184",="1.8195",="184.7893",="232.9901",="0",="0",="0",="0",="0",="0",="0",="0",="549.546",="0",="738.2865",="0",="0",="0",="259.6489",="0",="0",="0",="0",="0",="866.32",="0",="433.4869",="170.1961",="133.4935",="0",="0",="0",="0",="0",="0",="0",="0",="212.364",="591.6701",="289.8314",="0",="96.5093",="0",="216.4146",="128.3955",="0",="59.1732",="0",="1033.1998",="537.7584",="0",="108.0408",="0",="174.0058",="35.2838",="0",="0",="0",="266.9055",="0",="52.7157",="0",="0",="0",="27.0831",="0",="0",="0",="120.885",="0",="0",="0",="0",="0",="0",="150.4441",="0",="0",="0",="261.551",="0",="262.3533",="0",="0",="268.3754"
="VISp6a",="32.426",="3304.8768",="406.3296",="1073.0707",="0",="3149.3392",="2020.3655",="2299.0601",="1944.3949",="294.2785",="189.7605",="0",="0",="3358.888",="2110.0467",="1770.8036",="2511.222",="1253.4103",="0",="1139.9619",="1962.6667",="0",="0",="1667.6021",="3.7803",="533.0023",="3023.5443",="0",="722.7801",="1094.8498",="1736.3158",="785.4718",="771.6665",="3206.7178",="2114.9848",="4572.0461",="2372.063",="6507.2618",="0",="1878.0339",="4254.5915",="530.6131",="4585.7515",="1821.8622",="4.6828",="289.6682",="3042.9845",="1416.4625",="117.4916",="2089.4385",="274.4126",="381.8523",="347.4212",="1651.6379",="459.2363",="0",="0",="411.7709",="2184.5115",="3128.6818",="2546.012",="537.1421",="0",="446.0873",="602.3659",="939.763",="0",="2304.44",="8043.6842",="0",="4485.5443",="645.2164",="276.7077",="2405.857",="3978.2631",="1097.2982",="0",="1968.4799",="353.3466",="8441.041",="342.0255",="1471.0734",="5.8195",="698.4228",="409.1114",="756.654",="0",="0",="0",="1404.0667",="703.2866",="104.8674",="1525.7254",="1837.9205",="805.4984",="691.1708",="0",="1345.4104",="131.2848",="1661.7753",="0",="0",="0",="1669.5344",="321.3237",="1875.2316",="2802.6124",="2481.3036",="3171.0387",="4742.5853",="1835.6577",="0",="0",="0",="1301.8981",="459.8588",="594.1933",="780.9817",="1997.1164",="4937.8731",="65.6747",="1310.2287",="0",="0",="565.0449",="0",="0",="0",="0",="30.9004",="398.5538",="1267.6525",="688.8969",="0",="51.5793",="1185.271",="0",="22.2528",="1027.6938",="0",="32.9063",="0",="479.7307",="8.2765",="981.1331",="0",="830.6958",="313.9448",="727.2049",="3922.9691",="50.7847",="911.8609"
="VISp6b",="353.9628",="0",="0",="418.1331",="0",="0",="419.2528",="0",="1272.0261",="0",="117.1251",="0",="0",="661.3202",="1186.9963",="550.5614",="510.1651",="1439.8276",="0",="614.9682",="0",="0",="0",="469.3223",="0",="479.3711",="1670.9922",="0",="0",="0",="134.3271",="590.9875",="0",="258.6231",="169.2446",="76.3865",="0",="1863.6392",="0",="0",="562.2228",="528.0747",="1058.0464",="126.9559",="461.6637",="74.6418",="642.2139",="0",="41.4866",="268.4557",="1333.3876",="0",="214.5205",="219.0948",="0",="0",="126.5606",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="164.9123",="0",="0",="145.3336",="189.7797",="0",="0",="0",="0",="0",="162.9747",="0",="1080.9490999999998",="0",="304.5132",="0",="722.2444",="433.5687",="165.9374",="0",="0",="0",="0",="125.3142",="145.0644",="0",="1692.4642",="349.635",="0",="0",="38.5827",="0",="855.7464",="0",="0",="0",="448.5293",="143.3068",="808.0954",="154.2834",="0",="1741.6971",="519.6511",="541.5452",="0",="0",="0",="94.7992",="130.7988",="451.4748",="0",="114.4089",="79.7833",="0",="107.2378",="0",="0",="0",="0",="0",="0",="0",="0",="105.2766",="815.8632",="36.8002",="0",="0",="0",="0",="0",="0",="0",="1334.3302",="0",="51.7515",="33.2332",="0",="0",="179.8319",="0",="0",="478.1245",="0",="83.0559"
="VISpm6b",="660.0092",="0",="0",="0",="0",="0",="328.0068",="0",="442.4412",="0",="0",="0",="0",="693.5676",="494.59479999999996",="0",="100.0093",="0",="0",="276.5449",="0",="0",="0",="131.8288",="0",="0",="94.1607",="0",="0",="0",="0",="402.9452",="264.2572",="438.3673",="102.8495",="632.6234",="591.0065",="0",="0",="159.8489",="0",="14.4642",="125.6872",="40.1571",="0",="67.5654",="208.8756",="0",="0",="0",="0",="0",="584.2609",="0",="0",="0",="174.5973",="40.4389",="0",="0",="0",="0",="0",="0",="458.5521",="21.6224",="0",="368.6704",="162.5379",="0",="356.2239",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="449.3138",="0",="0",="0",="56.6599",="0",="0",="0",="0",="0",="293.294",="0",="534.3556",="535.5342",="149.8139",="0",="0",="0",="174.6905",="0",="0",="0",="0",="282.9789",="155.2707",="15.7242",="0",="62.5025",="0",="78.3638",="0",="0",="0",="116.8755",="0",="0",="0",="425.1796",="0",="0",="0",="0",="0",="0",="6.4683",="39.5749",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="372.1249",="0",="0",="0",="0",="0",="199.6339",="0",="0",="0",="0",="246.2269"
="ACAd1",="11411.426899999999",="4458.7108",="2081.4033",="13989.099400000001",="5779.7456999999995",="7189.0443",="16174.872200000002",="14691.6003",="11731.3998",="19982.1463",="98.9377",="2697.1122",="4406.4295999999995",="7353.4797",="4915.2693",="862.3888",="1616.3434",="2383.7314",="14194.3396",="12840.772099999998",="4237.1694",="7635.8885",="4907.7636",="0",="3104.9222",="0",="0",="28331.7004",="10816.8465",="0",="18682.3769",="2453.8587",="5083.6379",="2445.0066",="16870.049899999998",="3796.4746999999998",="470.1679",="3248.8562",="612.5802",="1381.6786",="898.9978",="10882.8686",="15669.7043",="0",="11066.6388",="15071.1765",="0",="1530.539",="5043.9038",="574.1916",="530.7439",="6408.17",="2515.641",="8542.0059",="114.1546",="3676.6737",="1583.6182",="23485.035499999998",="10.7597",="4084.6086",="6357.1675",="25828.954599999997",="6521.9298",="0",="16202.1539",="1180.6313",="876.6458",="8636.2068",="298.4925",="30869.1823",="1120.6386",="0",="350.6204",="0",="0",="1522.6257",="1021.2951",="332.36749999999995",="55.6148",="164.6948",="186.6511",="2490.7803",="0",="5280.5674",="5393.2145",="516.124",="327.3601",="20057.7143",="13814.9807",="3843.8478",="9343.9086",="626.7181",="296.3504",="897.0898",="2582.7191",="12568.4043",="26495.3895",="18728.0517",="14041.989",="26989.7735",="8034.8949",="14121.477200000001",="12657.1273",="3994.9552000000003",="0",="0",="0",="0",="0",="0",="0",="2566.6787",="0",="2799.6144999999997",="875.4021",="99.2169",="196.1826",="1768.8343",="1425.6083999999998",="0",="0",="28.2263",="492.6606",="0",="1803.1345",="1880.3319",="0",="601.2937",="0",="962.9947000000001",="423.7249",="1284.5514",="406.1436",="2057.7598",="3658.808",="190.0529",="231.8774",="311.2514",="0",="2315.456",="781.6484",="0",="0",="0",="443.6766",="910.5376",="0",="0",="0",="473.2917",="25.1367",="0"
="ACAd2/3",="1045.5579",="4581.891600000001",="1417.1341000000002",="6937.4275",="8289.99",="4384.6864000000005",="3128.4202999999998",="3031.8489",="7502.8161",="13392.3281",="624.9022",="1406.155",="1861.7765",="2663.0758",="2606.055",="18.4794",="1545.5258",="3195.4068",="7626.9387",="6092.182000000001",="1476.4497999999999",="3938.3206",="1130.1566",="129.1954",="88.9581",="152.2242",="328.7306",="9935.646499999999",="3275.9034",="625.9208",="11727.497",="634.0211",="3300.4863",="1338.6848",="2450.1238",="703.822",="1330.805",="1125.0965",="3582.0323",="7459.0892",="1337.9403",="2108.4718",="2141.5834",="12.0919",="5991.6914",="3390.7201",="0",="877.7297",="333.7186",="464.6902",="1527.1468",="2520.9579",="2736.0538",="2158.2255999999998",="7131.668900000001",="687.4935",="3724.1785",="8301.730599999999",="797.626",="395.634",="1321.2602",="9630.0135",="1117.9778999999999",="0",="10284.884",="764.7321",="454.212",="2672.745",="281.8761",="13436.3279",="1877.1263000000001",="12.0612",="1264.6702",="46.620000000000005",="0",="1274.8183",="2115.0755",="1070.4389",="829.7311",="0",="2900.4966",="502.6114",="0",="1642.7428",="2269.6286",="166.4098",="0",="5856.2389",="10633.3922",="4708.721799999999",="4649.2549",="546.4042",="790.5463",="2949.8965",="1432.574",="10515.7157",="10160.7907",="10541.6718",="4730.944",="15891.6184",="10766.465400000001",="6647.7622",="5379.548500000001",="5325.9075",="0",="0",="0",="0",="0",="0",="0",="921.1624",="0",="964.3263",="504.7946",="700.9328",="336.1561",="366.0584",="775.8074",="0",="0",="263.3733",="156.3603",="0",="304.7297",="1069.0473",="476.1337",="1392.4403",="0",="1538.9867",="905.7804",="808.2763",="170.5681",="1724.0381",="2651.6243",="496.4412",="647.7997",="1170.4218",="0",="523.9563",="0",="0",="0",="0",="1006.5388",="1206.309",="0",="324.4328",="0",="310.8694",="201.3744",="46.0331"
="ACAd5",="1647.0569",="6416.5419999999995",="1683.3526000000002",="9714.312",="17525.4233",="15543.876",="14702.838",="6378.660400000001",="19147.6851",="11857.598100000001",="7217.3816",="9376.4574",="5253.594",="5500.9703",="7451.4926",="2860.6648",="8345.0059",="9393.6424",="13322.3828",="16483.482799999998",="10999.3105",="10107.5931",="10305.3378",="3646.5402999999997",="2158.301",="17302.6376",="9581.1594",="16542.1135",="18423.8629",="29461.3307",="19745.5503",="1042.178",="16543.697",="13328.1531",="9295.2848",="5458.0476",="5630.0171",="7252.9304999999995",="8090.5645",="15975.911",="9277.0367",="5122.0742",="3593.6263",="5398.5027",="14231.269400000001",="9384.0396",="3744.9318000000003",="3276.1843",="5907.7662",="9235.4428",="3896.119",="6968.9807",="6493.6025",="10633.9414",="23511.1794",="240.6719",="8163.4739",="29906.205299999998",="11450.0419",="4824.372399999999",="4869.6517",="14556.3121",="9712.633",="723.8971",="26407.608",="4133.0012",="3527.2649",="14824.387999999999",="19520.8262",="20982.6612",="30361.829999999998",="19822.7415",="16303.2494",="4682.6260999999995",="846.7318",="4305.0166",="5428.8482",="14526.5042",="1184.8505",="116.4112",="15433.4342",="4501.248",="1163.4802",="8743.3625",="6610.0873",="3956.6038",="1001.7362",="17126.286",="14843.985799999999",="12552.698900000001",="10923.5567",="12097.8272",="15472.1496",="9254.7508",="3357.0957",="22559.6925",="19941.033900000002",="18594.317199999998",="7339.6398",="18439.2713",="10999.1983",="16765.123199999998",="11342.1851",="10880.7526",="3079.5678",="5854.388999999999",="10828.7172",="6547.8892000000005",="5679.762500000001",="8632.7686",="2244.5631",="14152.9092",="6519.5987",="9057.926",="12649.364",="13371.5456",="6046.6796",="8945.9461",="10976.3791",="11799.5256",="3177.7425",="9373.6431",="6443.4077",="14096.9991",="8881.2833",="13177.1053",="7979.114",="8642.0155",="7837.3503",="6180.8506",="10311.4829",="7400.433",="11736.1976",="3763.8354",="8967.398",="10186.0096",="9142.7531",="9841.4308",="845.1829",="5310.3062",="2207.7692",="5596.5984",="4403.5763",="9694.8168",="5383.9456",="9118.0634",="696.6865",="11129.6081",="2192.8506",="9805.3605",="3587.2992",="3542.3776"
